studentid,sex,age,bis1,bis2,bis3,bis4,bis5,bis6,bis7,bas1,bas2,bas3,bas4,bas5,bas6,bas7,bas8,bas9,bas10,bas11,bas12,bas13,a01_t1,a02_t1,a03_t1,a04_t1,a05_t1,a06_t1,a07_t1,a08_t1,a09_t1,a10_t1,a11_t1,a12_t1,a13_t1,a14_t1,a15_t1,a16_t1,a17_t1,a18_t1,a19_t1,a20_t1,d01_t1,d02_t1,d03_t1,d04_t1,d05_t1,d06_t1,d07_t1,d08_t1,d09_t1,d10_t1,d11_t1,d12_t1,d13_t1,d14_t1,d15_t1,d16_t1,d17_t1,d18_t1,d19_t1,d20_t1,a01_t2,a02_t2,a03_t2,a04_t2,a05_t2,a06_t2,a07_t2,a08_t2,a09_t2,a10_t2,a11_t2,a12_t2,a13_t2,a14_t2,a15_t2,a16_t2,a17_t2,a18_t2,a19_t2,a20_t2,d01_t2,d02_t2,d03_t2,d04_t2,d05_t2,d06_t2,d07_t2,d08_t2,d09_t2,d10_t2,d11_t2,d12_t2,d13_t2,d14_t2,d15_t2,d16_t2,d17_t2,d18_t2,d19_t2,d20_t2
106,1,19,1,4,4,4,4,4,4,2,1,4,4,2,4,2,3,4,4,2,3,4,4,4,3,3,4,1,4,4,4,4,3,4,4,4,4,1,4,4,4,4,4,4,1,1,1,1,1,1,4,1,4,4,4,1,4,4,1,1,1,4,1,2,2,2,2,2,2,2,2,3,3,2,2,3,2,2,2,2,2,2,2,4,2,1,1,1,1,1,1,3,4,2,1,1,1,3,1,3,1,2
107,1,20,3,4,3,4,3,3,3,4,4,3,4,4,3,4,4,3,4,4,4,4,2,2,3,3,2,1,3,4,4,2,1,4,2,1,1,1,3,2,3,3,4,2,4,1,1,1,4,1,1,4,3,2,1,1,3,2,1,1,1,2,1,1,2,3,2,1,3,2,3,2,2,3,1,4,4,3,3,2,3,3,4,2,2,1,1,1,3,1,1,4,2,2,1,1,2,4,1,1,1,3
108,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,0,19,1,4,4,3,4,1,4,2,4,3,3,3,3,2,3,4,4,4,2,4,2,2,1,1,3,4,2,2,2,3,3,2,1,3,3,1,1,3,2,3,2,4,2,2,2,2,1,3,2,2,3,2,2,4,2,4,3,4,1,3,3,3,1,2,3,3,2,2,2,4,3,3,4,3,3,2,1,3,2,3,2,4,2,2,2,2,2,3,1,2,3,2,2,4,2,3,3,3,3,3
110,0,NA,3,4,3,3,4,3,3,2,4,3,3,3,3,3,3,3,2,3,2,2,1,1,1,2,3,3,1,1,1,2,2,3,1,4,3,2,2,2,1,2,2,2,2,1,1,1,3,1,1,3,1,1,1,1,1,1,1,2,1,3,3,3,2,3,3,3,1,1,2,4,2,3,1,3,3,1,3,3,2,3,2,2,1,1,2,1,3,1,1,3,1,2,1,1,2,1,1,1,1,1
111,1,NA,1,3,4,4,4,1,4,1,4,2,3,1,1,1,3,1,3,1,1,2,1,3,1,1,3,4,1,1,1,4,4,2,1,4,4,1,1,1,1,4,4,4,1,1,1,2,4,1,1,4,3,2,2,4,3,4,2,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,1,NA,2,2,3,2,3,2,3,3,4,4,3,3,3,3,4,3,3,3,4,3,2,3,1,2,3,3,1,1,1,3,4,1,1,4,3,1,1,3,1,3,2,2,1,1,1,1,1,4,1,2,2,1,2,3,2,4,3,2,1,2,1,2,1,1,2,3,1,1,1,1,3,1,1,3,3,1,1,1,1,3,2,2,1,1,1,1,1,3,1,2,2,1,3,3,2,3,2,2,1,3
113,0,20,4,4,4,3,4,3,3,3,4,4,4,4,4,4,4,3,4,4,3,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,1,2,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,1,NA,2,2,3,4,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,2,3,2,3,2,3,2,1,2,4,2,2,1,3,3,3,3,1,2,4,1,2,2,1,3,1,1,3,2,2,2,2,2,3,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,1,NA,1,3,2,2,2,2,2,3,3,3,3,2,3,2,3,3,3,3,2,3,3,3,1,2,3,3,1,1,1,2,2,2,1,4,3,1,1,3,1,3,3,4,2,4,1,1,1,1,2,2,4,2,2,1,1,2,2,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,0,19,1,4,4,4,4,1,1,3,4,4,4,3,3,4,4,4,4,4,2,3,3,3,3,1,4,3,2,1,2,3,3,2,2,4,3,1,1,3,1,3,3,4,2,1,1,2,1,1,1,3,2,2,3,2,1,2,2,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,1,NA,2,4,4,3,4,3,2,3,4,4,3,4,2,4,3,1,3,3,3,4,2,2,1,2,2,2,1,1,1,3,2,2,1,2,2,1,1,2,1,2,1,3,1,1,3,2,1,1,2,2,2,2,1,3,1,2,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,1,20,3,2,4,1,3,2,1,3,2,4,4,3,3,3,4,4,4,4,3,4,2,3,1,1,4,4,1,1,1,3,2,1,1,4,3,1,1,3,2,3,2,2,1,1,2,2,1,1,1,2,3,3,2,3,2,3,3,3,1,3,2,2,1,1,3,3,2,2,1,3,2,1,1,4,4,1,1,3,1,3,2,4,1,1,2,2,1,1,1,2,3,3,1,2,1,3,3,3,1,3
120,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,1,2,1,1,1,1,2,2,1,2,2,1,2,2,2,2,3,4,1,3,1,2,1,1,1,4,3,4,2,4,2,3,4,2,1,2
121,1,NA,1,1,4,4,2,1,1,1,3,2,3,1,1,3,3,4,3,3,4,4,3,4,4,2,3,3,4,4,2,2,3,4,4,3,3,3,4,3,3,3,4,4,2,4,4,3,4,1,1,4,3,2,1,4,4,4,3,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,0,19,1,4,4,4,4,2,3,3,4,3,4,3,2,3,4,4,4,3,3,3,2,3,2,3,3,3,3,3,2,3,3,3,1,4,4,1,2,3,3,3,2,4,3,1,2,3,1,2,1,3,3,2,3,2,3,3,2,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,1,20,2,4,4,3,4,1,3,4,4,4,3,3,3,4,4,4,3,3,4,3,3,1,1,1,2,3,1,1,1,1,1,1,3,2,1,1,1,2,1,1,3,1,1,3,1,1,2,1,1,4,1,3,3,2,3,2,2,2,1,2,3,3,1,2,2,4,2,2,1,4,3,2,1,4,4,1,3,3,1,4,3,3,1,2,1,1,2,1,1,3,3,3,2,2,3,3,2,2,1,3
126,1,19,2,4,3,3,3,2,3,2,3,3,3,2,2,2,2,3,2,2,3,3,2,2,2,1,3,2,2,2,2,2,2,1,2,3,3,2,2,2,2,2,3,3,1,1,1,1,1,1,1,3,3,2,1,2,2,3,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,1,NA,4,2,3,2,3,4,4,1,4,3,4,1,4,3,2,2,3,2,3,1,2,2,1,2,1,3,1,1,2,2,2,2,1,4,3,1,1,2,2,3,2,4,2,3,1,2,1,1,1,3,4,3,1,3,2,2,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,1,20,4,4,4,3,3,3,3,3,3,NA,3,3,2,3,3,2,2,2,3,3,3,3,1,2,3,3,1,2,1,3,3,2,1,4,3,1,2,3,1,4,2,4,1,1,4,2,4,1,2,3,4,3,1,3,2,4,3,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,1,19,1,4,4,4,4,1,3,3,4,1,3,3,2,3,4,1,4,4,4,4,3,3,1,2,3,4,2,2,1,3,3,1,1,4,3,1,4,3,2,3,2,4,2,1,1,1,1,1,2,2,4,4,3,4,2,4,4,3,1,3,3,3,1,4,3,4,1,1,2,3,3,3,1,3,3,1,4,3,2,3,2,4,2,1,1,1,1,1,1,2,4,3,2,2,2,4,4,3,1,3
132,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,3,3,2,1,1,1,1,3,1,1,2,2,1,1,1,1,1,3,4,3,1,1,1,1,1,2,3,4,2,1,2,1,2,1,3,1,4
133,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,0,19,2,4,3,3,4,3,3,4,4,4,3,4,3,4,4,3,4,4,3,3,2,3,2,3,2,3,1,1,1,2,3,2,1,3,2,1,2,2,1,3,3,4,2,1,1,2,1,4,1,3,2,1,1,3,1,3,3,2,1,2,2,3,1,2,3,3,1,1,1,2,3,2,1,3,3,1,2,3,2,3,3,4,3,1,1,1,1,3,1,4,3,1,1,3,2,4,2,3,1,3
135,1,21,2,4,4,3,3,2,3,3,3,3,4,3,3,3,2,2,4,2,3,3,2,2,2,2,2,3,2,1,2,2,3,2,1,3,2,1,2,2,1,2,2,2,2,2,1,2,2,1,1,2,3,2,2,3,3,3,3,3,3,2,3,3,2,2,3,3,2,3,2,3,2,2,1,4,3,2,2,3,2,4,2,3,3,2,2,1,2,1,2,3,3,3,1,3,2,3,3,3,3,3
136,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,2,4,1,3,3,1,2,3,4,1,2,3,1,1,3,3,4,2,2,3,1,1,2,1,1,2,2,3,2,1,2,3,3,1,1,1,3
137,0,19,2,4,4,2,3,3,2,3,4,4,3,4,3,3,3,3,3,4,4,3,1,3,1,1,3,3,1,1,1,3,3,2,1,3,3,1,1,3,3,3,2,4,1,2,1,3,1,1,1,2,3,2,2,3,1,3,3,2,1,3,2,2,1,1,3,3,2,2,1,3,3,2,1,3,3,1,1,3,2,3,2,4,2,2,1,3,1,1,1,2,3,3,2,3,1,4,3,3,1,3
138,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,2,4,3,1,1,2,3,3,3,2,3,3,1,3,3,3,3,2,4,2,1,3,2,3,1,1,2,3,2,1,2,1,4,2,2,1,2
139,1,NA,1,1,2,4,1,3,1,3,4,4,4,4,4,1,1,4,1,3,2,4,2,2,2,1,3,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,4,3,3,1,1,1,1,1,3,1,2,4,2,2,4,3,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,0,19,2,4,4,4,4,1,3,3,3,4,4,3,3,3,4,3,4,4,3,4,1,1,1,2,3,3,1,1,1,1,2,3,1,3,3,1,1,3,2,2,3,4,3,1,1,1,1,1,1,3,2,3,2,2,2,2,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,1,19,2,2,3,3,3,2,3,2,3,2,3,3,3,3,3,3,3,3,4,2,3,2,2,1,3,2,1,1,1,3,2,1,1,3,2,4,2,3,3,2,3,4,1,3,2,2,1,1,3,3,2,2,3,3,3,2,3,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,0,19,4,4,4,4,4,1,3,2,3,3,3,2,3,2,2,3,2,2,1,3,2,3,1,1,3,4,1,1,1,3,3,2,1,3,2,1,3,2,2,2,2,3,1,1,2,2,1,3,1,2,3,2,2,3,2,4,4,3,2,3,2,2,1,1,3,4,2,1,1,2,3,3,1,4,3,1,3,3,2,3,2,4,1,1,1,3,1,2,2,2,4,3,2,3,3,4,4,3,1,4
143,1,NA,3,2,3,2,3,2,1,2,2,3,4,2,4,3,3,4,3,3,3,3,1,1,2,1,3,2,2,2,1,3,3,2,1,3,3,1,1,1,1,2,2,3,2,1,1,2,1,1,2,3,2,2,3,2,3,2,2,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,1,NA,3,2,3,2,2,2,2,3,4,4,3,2,4,3,3,4,3,3,3,3,3,3,2,4,2,3,1,1,1,2,3,2,1,3,2,2,1,2,2,2,2,3,2,4,2,1,1,1,1,1,2,2,3,1,2,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,1,19,3,2,3,3,3,2,3,4,4,3,4,3,3,3,3,3,2,4,3,4,1,2,1,3,3,2,1,1,1,2,3,2,1,3,2,1,2,2,1,2,2,4,2,3,1,2,3,1,1,2,2,2,3,1,2,3,2,2,1,2,2,2,1,2,2,2,2,2,2,2,3,2,2,3,2,1,1,2,1,2,3,4,2,3,1,2,3,1,1,3,2,2,3,2,2,3,2,2,3,2
148,1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,0,19,3,3,4,2,3,3,3,4,4,4,4,3,4,3,3,3,3,2,4,3,1,1,1,1,2,2,1,1,1,1,2,1,1,3,3,1,1,1,1,2,1,4,1,1,1,2,1,1,1,2,2,1,2,1,1,3,3,2,1,2,2,2,1,2,3,3,2,1,1,3,3,1,1,4,4,1,1,3,1,3,2,4,1,1,1,2,1,2,1,2,3,2,1,1,2,2,3,2,1,2
150,1,NA,4,3,1,1,3,3,3,4,4,4,4,4,4,4,4,3,3,3,4,4,2,2,3,1,3,1,1,1,1,4,2,3,1,4,4,1,2,2,1,2,2,3,1,3,4,3,3,2,2,2,3,3,3,1,2,1,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,3,4,4,2,3,2,3,4,2,1,3,3,1,1,3,3,3,3,4,1,2,3,2,3,3,2,2,3,3,1,3,3,3,3,3,1,3
152,1,19,1,4,4,4,4,2,2,3,4,4,4,3,4,3,4,4,3,4,3,3,3,3,2,1,4,4,1,1,1,3,4,3,1,4,4,1,1,4,2,4,2,4,1,3,1,3,1,1,1,2,4,4,2,2,1,3,2,4,1,3,3,2,1,1,2,4,1,1,2,2,3,2,2,2,2,1,2,2,2,2,1,4,1,1,1,1,1,1,1,2,2,2,1,2,1,2,2,3,1,2
153,1,NA,2,4,4,2,4,3,3,3,4,4,4,3,4,3,3,2,3,4,3,4,1,2,1,1,2,2,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,1,19,3,3,3,3,3,3,2,4,4,4,4,4,4,4,4,3,3,4,3,3,2,2,1,1,1,2,1,2,2,NA,3,1,2,4,3,1,1,1,1,3,3,4,1,3,1,2,1,2,1,3,3,2,3,3,2,2,3,3,1,3,2,3,2,2,2,3,2,2,2,2,3,2,2,3,3,1,2,2,2,3,3,4,2,1,1,2,1,1,1,2,2,2,3,3,3,2,3,3,1,3
156,1,19,2,4,4,4,3,2,4,3,4,3,4,3,3,3,3,3,3,3,3,4,2,2,1,1,2,1,2,1,1,2,2,3,2,2,2,1,1,4,1,2,2,2,3,3,1,1,1,1,1,3,2,1,1,1,2,2,1,1,1,2,2,3,2,2,3,2,3,1,2,3,3,3,1,3,2,1,1,2,3,3,2,2,3,4,1,1,1,1,1,3,3,3,1,1,3,2,1,2,1,2
157,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,3,1,1,1,2,3,3,1,4,4,1,1,3,1,3,2,2,1,1,1,1,1,1,2,2,3,3,1,3,1,2,2,2,1,2
158,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
